fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,copy_paste
0.43805,0.01,0.01,0.937,0.0005,3.0,0.8,7.5,0.5,1.5,0.015,0.7,0.4,0.0,0.1,0.5,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.44877,0.01,0.01047,0.937,0.00059,3.0,0.82374,7.5,0.53441,1.5,0.015,0.7,0.42424,0.0,0.07252,0.4853,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0
0.53312,0.00824,0.00919,0.83894,0.00059,3.60312,0.84528,7.89696,0.42304,2.06209,0.015,0.78829,0.41493,0.0,0.05235,0.4853,0.0,0.0,0.0,0.44547,0.0,1.0,0.0,0.0
0.50068,0.00824,0.0103,0.85361,0.00059,3.59021,0.84528,8.54288,0.42503,1.81528,0.015,0.80415,0.52798,0.0,0.05287,0.4598,0.0,0.0,0.0,0.38483,0.0,0.85212,0.0,0.0
0.46692,0.00898,0.00919,0.83894,0.00064,3.49817,0.84025,8.19959,0.44074,2.06336,0.015,0.85783,0.41493,0.0,0.05006,0.4853,0.0,0.0,0.0,0.47304,0.0,0.93975,0.0,0.0
0.49613,0.00824,0.01146,0.94363,0.00056,3.59021,0.79198,8.54288,0.42503,1.81528,0.015,0.9,0.52798,0.0,0.053,0.4598,0.0,0.0,0.0,0.45806,0.0,1.0,0.0,0.0
0.41944,0.00824,0.0123,0.93447,0.00065,3.59021,0.85006,10.89481,0.39458,1.81528,0.01373,0.9,0.51278,0.0,0.05304,0.4598,0.0,0.0,0.0,0.44219,0.0,0.92506,0.0,0.0
0.4175,0.00824,0.01305,0.98,0.00056,3.00373,0.92131,7.67295,0.42503,1.58239,0.015,0.9,0.5876,0.0,0.04256,0.4598,0.0,0.0,0.0,0.45519,0.0,0.92511,0.0,0.0
0.47473,0.00826,0.00885,0.83027,0.00058,3.48957,0.826,7.89696,0.41547,2.06209,0.0145,0.78829,0.40876,0.0,0.05059,0.49231,0.0,0.0,0.0,0.42745,0.0,0.98382,0.0,0.0
0.56493,0.00806,0.0065,0.83996,0.00059,3.0485,0.84528,7.62973,0.47089,1.7467,0.01182,0.78829,0.38559,0.0,0.05357,0.51415,0.0,0.0,0.0,0.44547,0.0,1.0,0.0,0.0
0.53364,0.00776,0.00554,0.83996,0.00056,3.17281,0.95,8.80455,0.46597,1.48031,0.01212,0.72379,0.28699,0.0,0.04813,0.5873,0.0,0.0,0.0,0.44547,0.0,0.90384,0.0,0.0
0.54435,0.00664,0.0071,0.83431,0.00059,3.0485,0.84976,8.50617,0.42847,1.43488,0.01026,0.76463,0.38559,0.0,0.04493,0.47942,0.0,0.0,0.0,0.44547,0.0,0.93385,0.0,0.0
